"","gender","rural","dem_education_level","dem_has_children","age_group"
"610","female","rural","medium","yes","26_39"
"611","male","urban","medium","no","26_39"
"612","male","urban","medium","yes","26_39"
"613","male","urban","low","no","14_25"
"614","male","rural","high","yes","26_39"
"615","female","rural","high","yes","26_39"
"616","female","urban","high","yes","26_39"
"617","female","urban","medium","yes","40_65"
"618","male","rural","medium","yes","40_65"
"619","female","rural","high","yes","40_65"
"620","male","urban","medium","yes","40_65"
"621","female","urban","high","no","26_39"
"622","male","rural","medium","yes","40_65"
"623","male","urban","medium","yes","40_65"
"624","male","urban","high","yes","40_65"
"625","female","urban","medium","no","14_25"
"626","female","urban","medium","yes","26_39"
"627","male","rural","medium","no","26_39"
"628","male","urban","medium","no","26_39"
"629","female","rural","medium","no","26_39"
"630","male","rural","medium","yes","40_65"
"631","male","urban","high","no","14_25"
"632","female","rural","medium","yes","40_65"
"633","male","urban","high","no","26_39"
"634","male","urban","medium","yes","40_65"
"635","male","urban","medium","yes","26_39"
"636","male","urban","medium","yes","40_65"
"637","male","urban","medium","no","40_65"
"638","female","rural","high","no","26_39"
"639","male","urban","medium","no","40_65"
"640","female","urban","medium","yes","26_39"
"641","female","rural","medium","yes","40_65"
"642","male","rural","medium","yes","40_65"
"643","male","urban","medium","yes","40_65"
"644","female","urban","medium","yes","40_65"
"645","female","urban","low","yes","26_39"
"646","male","urban",NA,"no","26_39"
"647","male","rural","high","no","26_39"
"648","male","urban","low","yes","40_65"
"649","male","urban","medium","no","14_25"
"650","male","rural","high","no","26_39"
"651","male","rural","low","no","14_25"
"652","male","rural","medium","yes","14_25"
"653","male","urban","high","yes","40_65"
"654","male","urban","medium","no","14_25"
"655","male","urban","medium","no","14_25"
"656","male","urban","low","yes","26_39"
"657","male","rural","medium","no","14_25"
"658","female","rural","medium","yes","40_65"
"659","female","rural","medium","yes","26_39"
"660","female","urban","low","yes","40_65"
"661","male","urban",NA,"no","14_25"
"662","male","rural","no","no","14_25"
"663","male","urban","high","yes","40_65"
"664","male","urban","medium","yes","40_65"
"665","male","rural","low","no","40_65"
"666","male","rural","high","no","40_65"
"667","male","rural","high","yes","40_65"
"668","male","urban","medium","no","26_39"
"669","female","urban","high","yes","14_25"
"670","female","urban","low","yes","26_39"
"671","female","urban","medium","no","26_39"
"672","female","rural","high","no","40_65"
"673","female","urban","medium","yes","40_65"
"674","male","rural","high","yes","40_65"
"675","female","rural","low","no","14_25"
"676","male","rural","medium","yes","40_65"
"677","male","rural","low","no","14_25"
"678","male","urban","medium","no","40_65"
"679","male","urban","medium","yes","40_65"
"680","female","urban","medium","yes","40_65"
"681","female","rural","low","yes","40_65"
"682","male","urban","medium","yes","40_65"
"683","male","rural","no","yes","40_65"
"684","male","urban",NA,"yes","40_65"
"685","male","urban","medium","no","26_39"
"686","male","urban",NA,"yes","40_65"
"687","male","urban","low","no","14_25"
"688","female","urban","high","no","26_39"
"689","female","urban",NA,"yes","40_65"
"690","male","rural","high","no","26_39"
"691","male","urban","medium","yes","40_65"
"692","male","urban","medium","no","26_39"
"693","male","rural",NA,"no","14_25"
"694","male","urban","medium","yes","40_65"
"695","male","rural","medium","no","26_39"
"696","male","urban","medium","no","40_65"
"697","male","rural","low","no","14_25"
"698","male","rural","medium","no","26_39"
"699","male","urban","medium","yes","40_65"
"700","female","urban","medium","no","26_39"
"701","female","urban","medium","no","26_39"
"702","female","rural","low","no","14_25"
"703","female","urban","medium","no","14_25"
"704","male","urban","medium","yes","40_65"
"705","female","rural","low","no","14_25"
"706","female","urban","no","no","14_25"
"707","female","urban","medium","no","40_65"
"708","male","urban","medium","no","26_39"
"709","female","urban","high","yes","40_65"
"710","male","rural","high","yes","40_65"
"711","male","urban","medium","yes","40_65"
"712","male","rural","medium","yes","40_65"
"713","male","urban","low","no","26_39"
"714","male","urban","medium","yes","40_65"
"715","female","urban","low","no","26_39"
"716","female","rural","medium","no","14_25"
"717","male","urban","low","no","40_65"
"718","male","urban","medium","yes","26_39"
"719","male","urban","medium","no","14_25"
"720","female","rural","low","no","14_25"
"721","female","rural","low","no","26_39"
"722","male","urban","medium","no","40_65"
"723","male","urban",NA,"yes","40_65"
"724","female","urban","medium","yes","26_39"
"725","male","urban","high","no","40_65"
"726","female","urban","low","yes","40_65"
"727","female","urban","low","no","40_65"
"728","male","urban","high","no","40_65"
"729","female","rural",NA,"no","14_25"
"730","female","urban","no","no","26_39"
"731","male","urban","medium","yes","40_65"
"732","female","urban","medium","yes","14_25"
"733","male","urban","medium","yes","40_65"
"734","male","rural","no","no","40_65"
"735","male","urban","high","yes","26_39"
"736","female","rural","low","yes","40_65"
"737","female","rural","low","yes","40_65"
"738","male","urban","high","no","14_25"
"739","female","rural","low","yes","40_65"
"740","male","urban","medium","yes","40_65"
"741","female","urban","medium","no","40_65"
"742","male","rural","medium","yes","40_65"
"743","male","rural","medium","no","14_25"
"744","female","urban","low","no","14_25"
"745","male","rural","high","yes","40_65"
"746","male","rural","low","no","14_25"
"747","female","rural","medium","yes","40_65"
